trade_date,strip,ad_hub_on_peak,ad_hub_off_peak,zone_g_on_peak,zone_g_off_peak,zone_f_on_peak,zone_f_off_peak,mass_hub_on_peak,mass_hub_off_peak,houston_hub_on_peak_rt,houston_hub_off_peak_rt,houston_hub_on_peak_da,houston_hub_off_peak_da,indiana_hub_on_peak,indiana_hub_off_peak,hudson_valley_capacity,primary_key
12/16/2022,1/1/2023,117.35,104.6,218.45,185.4,242.45,211.45,251.8,228.2,95.7,67.49,95.9,67.69,120.75,107.15,2.7,12/16/2022-1/1/2023
12/16/2022,1/1/2024,95.25,80.85,171.85,158.25,197.95,172.45,231.95,213.85,95.87,65.75,96.07,65.95,101.1,85.4,10.16,12/16/2022-1/1/2024
12/16/2022,1/1/2025,81.2,71.6,158.7,133.75,171.05,144.15,180.45,164.9,84.24,53.87,84.44,54.07,88.25,75.95,4.55,12/16/2022-1/1/2025
12/16/2022,1/1/2026,82.45,67.55,122.85,119.15,128.85,122.6,136.75,125.1,75.39,53.95,75.59,54.15,85.25,72.35,3.48,12/16/2022-1/1/2026
12/16/2022,1/1/2027,81.1,59.35,132.85,116.85,136.45,120.25,140.3,119.95,77.59,45.75,77.79,45.95,86.8,64.25,,12/16/2022-1/1/2027
12/16/2022,1/1/2028,81.0,59.7,123.9,110.4,127.65,113.55,133.1,114.85,82.59,52.13,82.79,52.33,85.9,63.05,,12/16/2022-1/1/2028
12/16/2022,1/1/2029,83.1,64.15,117.8,101.55,,,133.7,115.0,89.56,50.28,89.76,50.48,85.8,63.7,,12/16/2022-1/1/2029
12/16/2022,1/1/2030,86.35,64.1,,,,,,,88.6,52.88,88.8,53.08,86.6,63.0,,12/16/2022-1/1/2030
12/16/2022,1/1/2031,86.9,64.25,,,,,,,89.59,50.5,89.79,50.7,86.1,60.95,,12/16/2022-1/1/2031
12/16/2022,1/1/2032,87.55,64.4,,,,,,,93.29,49.23,93.49,49.43,,,,12/16/2022-1/1/2032
12/16/2022,10/1/2023,63.05,44.3,61.35,44.2,72.95,55.05,60.1,49.45,71.58,43.78,71.78,43.98,64.5,43.6,5.4,12/16/2022-10/1/2023
12/16/2022,10/1/2024,50.0,36.3,47.05,38.65,56.5,48.7,47.05,35.35,53.57,36.08,53.77,36.28,53.85,40.1,2.17,12/16/2022-10/1/2024
12/16/2022,10/1/2025,50.45,36.0,40.5,29.5,45.35,38.45,41.95,36.7,51.39,35.39,51.59,35.59,54.55,40.35,9.05,12/16/2022-10/1/2025
12/16/2022,10/1/2026,51.85,35.0,45.8,38.75,50.7,47.9,51.85,40.9,44.1,35.45,44.3,35.65,58.65,42.1,8.15,12/16/2022-10/1/2026
12/16/2022,10/1/2027,52.05,36.35,54.25,42.15,59.55,51.1,58.8,43.45,44.34,36.13,44.54,36.33,58.9,43.2,,12/16/2022-10/1/2027
12/16/2022,10/1/2028,52.7,36.6,50.8,40.05,56.1,48.7,56.0,41.8,41.64,40.04,41.84,40.24,58.85,42.55,,12/16/2022-10/1/2028
